Removed Pin From Net: NetName=GND Pin=M2-1
Removed Pin From Net: NetName=3V3 Pin=M2-2
Removed Pin From Net: NetName=SDA Pin=M2-3
Removed Pin From Net: NetName=SCL Pin=M2-4
Removed Pin From Net: NetName=3V3 Pin=M3-1
Removed Pin From Net: NetName=GND Pin=M3-2
Removed Pin From Net: NetName=SCL Pin=M3-3
Removed Pin From Net: NetName=SDA Pin=M3-4
Removed Member From Class: ClassName=Controller Member=M2
Removed Member From Class: ClassName=Controller Member=M3
Change Component Kind : Designator=J5 Old Kind=Standard New Kind=Standard (No BOM)
Change Component Kind : Designator=J11 Old Kind=Standard New Kind=Standard (No BOM)
Change Component Kind : Designator=J1 Old Kind=Standard New Kind=Standard (No BOM)
Change Component Kind : Designator=J4 Old Kind=Standard New Kind=Standard (No BOM)
Change component parameters: Designator = "J3" ("J3"); Footprint = "KLDX-0202-AC"; UniqueID = "\YDFJVTMC\SBQMXGWH" ("\YDFJVTMC\SBQMXGWH")
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R33(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0R"; VariantName = "[No Variations]"
Added Component: Designator=R34(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0R"; VariantName = "[No Variations]"
Added Component: Designator=R35(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "4k7"; VariantName = "[No Variations]"
Added Component: Designator=R36(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "4k7"; VariantName = "[No Variations]"
Added Component: Designator=R37(RESC3115X06N)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-070RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier  1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier  Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R38(RESC3115X06N)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-070RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier  1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier  Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R39(RESC3115X06N)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-070RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier  1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier  Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R40(RESC3115X06N)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-070RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier  1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier  Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=U4(ADXL345)
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Analog Devices Inc."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "ADXL345BCCZ-RL7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=U5(ICM42670P)
Add component (AddParameter): Name = "Manufacturer 1"; Value = "TDK InvenSense"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "ICM-42670-P"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=U6(LIS2DW12)
Add component (AddParameter): Name = "Manufacturer 1"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=U7(RV-3028-C7)
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Micro Crystal AG"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RV-3028-C7 32.768KHZ 1PPM-TA-QC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Pin To Net: NetName=3V3 Pin=C10-1
Added Pin To Net: NetName=GND Pin=C10-2
Added Pin To Net: NetName=3V3 Pin=C11-1
Added Pin To Net: NetName=GND Pin=C11-2
Added Pin To Net: NetName=3V3 Pin=C12-1
Added Pin To Net: NetName=GND Pin=C12-2
Added Pin To Net: NetName=3V3 Pin=C13-1
Added Pin To Net: NetName=GND Pin=C13-2
Added Pin To Net: NetName=3V3 Pin=C14-1
Added Pin To Net: NetName=GND Pin=C14-2
Added Pin To Net: NetName=3V3 Pin=C15-1
Added Pin To Net: NetName=GND Pin=C15-2
Added Pin To Net: NetName=3V3 Pin=C16-1
Added Pin To Net: NetName=GND Pin=C16-2
Added Pin To Net: NetName=GND Pin=C17-2
Added Pin To Net: NetName=GND Pin=J7-2
Added Pin To Net: NetName=3V3 Pin=R17-2
Added Pin To Net: NetName=3V3 Pin=R18-2
Added Pin To Net: NetName=GND Pin=R19-1
Added Pin To Net: NetName=SDA Pin=R22-1
Added Pin To Net: NetName=3V3 Pin=R22-2
Added Pin To Net: NetName=SCL Pin=R23-1
Added Pin To Net: NetName=3V3 Pin=R23-2
Added Pin To Net: NetName=3V3 Pin=R24-1
Added Pin To Net: NetName=3V3 Pin=R25-2
Added Pin To Net: NetName=3V3 Pin=R26-1
Added Pin To Net: NetName=SDA Pin=R26-2
Added Pin To Net: NetName=3V3 Pin=R27-1
Added Pin To Net: NetName=SCL Pin=R27-2
Added Pin To Net: NetName=GND Pin=R30-1
Added Pin To Net: NetName=3V3 Pin=R31-1
Added Pin To Net: NetName=SDA Pin=R31-2
Added Pin To Net: NetName=3V3 Pin=R32-1
Added Pin To Net: NetName=SCL Pin=R32-2
Added Pin To Net: NetName=GND Pin=R35-1
Added Pin To Net: NetName=GND Pin=R36-1
Added Pin To Net: NetName=3V3 Pin=R37-1
Added Pin To Net: NetName=SDA Pin=R37-2
Added Pin To Net: NetName=3V3 Pin=R38-1
Added Pin To Net: NetName=SCL Pin=R38-2
Added Pin To Net: NetName=3V3 Pin=R39-1
Added Pin To Net: NetName=GND Pin=R40-2
Added Pin To Net: NetName=3V3 Pin=U4-1
Added Pin To Net: NetName=GND Pin=U4-2
Added Pin To Net: NetName=GND Pin=U4-4
Added Pin To Net: NetName=GND Pin=U4-5
Added Pin To Net: NetName=3V3 Pin=U4-6
Added Pin To Net: NetName=SDA Pin=U4-13
Added Pin To Net: NetName=SCL Pin=U4-14
Added Pin To Net: NetName=3V3 Pin=U5-5
Added Pin To Net: NetName=GND Pin=U5-6
Added Pin To Net: NetName=3V3 Pin=U5-8
Added Pin To Net: NetName=SCL Pin=U5-13
Added Pin To Net: NetName=SDA Pin=U5-14
Added Pin To Net: NetName=SCL Pin=U6-1
Added Pin To Net: NetName=SDA Pin=U6-4
Added Pin To Net: NetName=GND Pin=U6-6
Added Pin To Net: NetName=GND Pin=U6-7
Added Pin To Net: NetName=GND Pin=U6-8
Added Pin To Net: NetName=3V3 Pin=U6-9
Added Pin To Net: NetName=3V3 Pin=U6-10
Added Pin To Net: NetName=SCL Pin=U7-3
Added Pin To Net: NetName=SDA Pin=U7-4
Added Pin To Net: NetName=GND Pin=U7-5
Added Pin To Net: NetName=3V3 Pin=U7-7
Added Pin To Net: NetName=ADXL_ADDR Pin=J6-2
Added Pin To Net: NetName=ADXL_ADDR Pin=R19-2
Added Pin To Net: NetName=ADXL_ADDR Pin=U4-12
Added Net: Name=ADXL_ADDR
Added Pin To Net: NetName=ICM_ADDR Pin=J8-2
Added Pin To Net: NetName=ICM_ADDR Pin=R30-2
Added Pin To Net: NetName=ICM_ADDR Pin=U5-1
Added Net: Name=ICM_ADDR
Added Pin To Net: NetName=NetJ6_1 Pin=J6-1
Added Pin To Net: NetName=NetJ6_1 Pin=R18-1
Added Net: Name=NetJ6_1
Added Pin To Net: NetName=NetJ7_1 Pin=J7-1
Added Pin To Net: NetName=NetJ7_1 Pin=U5-7
Added Net: Name=NetJ7_1
Added Pin To Net: NetName=NetJ8_1 Pin=J8-1
Added Pin To Net: NetName=NetJ8_1 Pin=R25-1
Added Net: Name=NetJ8_1
Added Pin To Net: NetName=NetJ9_1 Pin=J9-1
Added Pin To Net: NetName=NetJ9_1 Pin=U6-3
Added Net: Name=NetJ9_1
Added Pin To Net: NetName=NetJ9_2 Pin=J9-2
Added Pin To Net: NetName=NetJ9_2 Pin=R35-2
Added Net: Name=NetJ9_2
Added Pin To Net: NetName=NetJ10_1 Pin=J10-1
Added Pin To Net: NetName=NetJ10_1 Pin=U6-2
Added Net: Name=NetJ10_1
Added Pin To Net: NetName=NetJ10_2 Pin=J10-2
Added Pin To Net: NetName=NetJ10_2 Pin=R36-2
Added Net: Name=NetJ10_2
Added Pin To Net: NetName=NetR17_1 Pin=R17-1
Added Pin To Net: NetName=NetR17_1 Pin=U4-7
Added Net: Name=NetR17_1
Added Pin To Net: NetName=NetR20_2 Pin=R20-2
Added Pin To Net: NetName=NetR20_2 Pin=U4-8
Added Net: Name=NetR20_2
Added Pin To Net: NetName=NetR21_2 Pin=R21-2
Added Pin To Net: NetName=NetR21_2 Pin=U4-9
Added Net: Name=NetR21_2
Added Pin To Net: NetName=NetR24_2 Pin=R24-2
Added Pin To Net: NetName=NetR24_2 Pin=U5-12
Added Net: Name=NetR24_2
Added Pin To Net: NetName=NetR28_2 Pin=R28-2
Added Pin To Net: NetName=NetR28_2 Pin=U5-4
Added Net: Name=NetR28_2
Added Pin To Net: NetName=NetR29_2 Pin=R29-2
Added Pin To Net: NetName=NetR29_2 Pin=U5-9
Added Net: Name=NetR29_2
Added Pin To Net: NetName=NetR33_2 Pin=R33-2
Added Pin To Net: NetName=NetR33_2 Pin=U6-11
Added Net: Name=NetR33_2
Added Pin To Net: NetName=NetR34_2 Pin=R34-2
Added Pin To Net: NetName=NetR34_2 Pin=U6-12
Added Net: Name=NetR34_2
Added Pin To Net: NetName=NetR39_2 Pin=R39-2
Added Pin To Net: NetName=NetR39_2 Pin=U7-2
Added Net: Name=NetR39_2
Added Pin To Net: NetName=NetR40_1 Pin=R40-1
Added Pin To Net: NetName=NetR40_1 Pin=U7-8
Added Net: Name=NetR40_1
Added Pin To Net: NetName=RTC3V3 Pin=C17-1
Added Pin To Net: NetName=RTC3V3 Pin=U7-6
Added Net: Name=RTC3V3
Change Class Name : Old Net Name=PowerSection New Net Name=Power Section
Change Class Name : Old Net Name=M3_Nets New Net Name=U7_Nets
Added Class: Name=IMU
Added Class: Name=C10_Nets
Added Class: Name=C11_Nets
Added Class: Name=C12_Nets
Added Class: Name=C13_Nets
Added Class: Name=C14_Nets
Added Class: Name=C15_Nets
Added Class: Name=C16_Nets
Added Class: Name=C17_Nets
Added Class: Name=J6_Nets
Added Class: Name=J7_Nets
Added Class: Name=J8_Nets
Added Class: Name=J9_Nets
Added Class: Name=J10_Nets
Added Class: Name=R17_Nets
Added Class: Name=R18_Nets
Added Class: Name=R19_Nets
Added Class: Name=R20_Nets
Added Class: Name=R21_Nets
Added Class: Name=R22_Nets
Added Class: Name=R23_Nets
Added Class: Name=R24_Nets
Added Class: Name=R25_Nets
Added Class: Name=R26_Nets
Added Class: Name=R27_Nets
Added Class: Name=R28_Nets
Added Class: Name=R29_Nets
Added Class: Name=R30_Nets
Added Class: Name=R31_Nets
Added Class: Name=R32_Nets
Added Class: Name=R33_Nets
Added Class: Name=R34_Nets
Added Class: Name=R35_Nets
Added Class: Name=R36_Nets
Added Class: Name=R37_Nets
Added Class: Name=R38_Nets
Added Class: Name=R39_Nets
Added Class: Name=R40_Nets
Added Class: Name=U4_Nets
Added Class: Name=U5_Nets
Added Class: Name=U6_Nets
Added Member To Class: ClassName=Controller Member=Component C16 ERP_102-1
Added Member To Class: ClassName=Controller Member=Component C17 ERP_102-1
Added Member To Class: ClassName=Controller Member=Component R37 ERP_101-1
Added Member To Class: ClassName=Controller Member=Component R38 ERP_101-1
Added Member To Class: ClassName=Controller Member=Component R39 ERP_101-1
Added Member To Class: ClassName=Controller Member=Component R40 ERP_101-1
Added Member To Class: ClassName=Controller Member=Component U7 RV-3028-C7
Added Member To Class: ClassName=U7_Nets Member=Wire NetR39_2
Added Member To Class: ClassName=U7_Nets Member=Wire NetR40_1
Added Member To Class: ClassName=U7_Nets Member=Wire RTC3V3
Added Rule: Name=Schematic Supply Nets_1
